FISHID,Increment_21Edge,Date
BL0064,increment6,2009-06-30
BL0064,increment7,2009-07-01
BL0064,increment8,2009-07-02
BL0064,increment9,2009-07-03
BL0065,increment1,2009-06-25
BL0065,increment10,2009-07-04
BL0065,increment11,2009-07-05
BL0065,increment12,2009-07-06
BL0065,increment13,2009-07-07
BL0065,increment14,2009-07-08
BL0065,increment15,2009-07-09
BL0065,increment16,2009-07-10
BL0065,increment17,2009-07-11
BL0065,increment18,2009-07-12
BL0065,increment19,2009-07-13
BL0065,increment2,2009-06-26
BL0065,increment20,2009-07-14
BL0065,increment21,2009-07-15
BL0065,increment3,2009-06-27
BL0065,increment4,2009-06-28
BL0065,increment5,2009-06-29
BL0065,increment6,2009-06-30
BL0065,increment7,2009-07-01
BL0065,increment8,2009-07-02
BL0065,increment9,2009-07-03
BL0066,increment1,2009-06-25
BL0066,increment10,2009-07-04
BL0066,increment11,2009-07-05
BL0066,increment12,2009-07-06
BL0066,increment13,2009-07-07
BL0066,increment14,2009-07-08
BL0066,increment15,2009-07-09
BL0066,increment16,2009-07-10
BL0066,increment17,2009-07-11
BL0066,increment18,2009-07-12
BL0066,increment19,2009-07-13
BL0066,increment2,2009-06-26
BL0066,increment20,2009-07-14
BL0066,increment21,2009-07-15
BL0066,increment3,2009-06-27
BL0066,increment4,2009-06-28
BL0066,increment5,2009-06-29
BL0066,increment6,2009-06-30
BL0066,increment7,2009-07-01
BL0066,increment8,2009-07-02
BL0066,increment9,2009-07-03
BL0067,increment1,2009-06-25
BL0067,increment10,2009-07-04
BL0067,increment11,2009-07-05
BL0067,increment12,2009-07-06
BL0067,increment13,2009-07-07
BL0067,increment14,2009-07-08
BL0067,increment15,2009-07-09
BL0067,increment16,2009-07-10
BL0067,increment17,2009-07-11
BL0067,increment18,2009-07-12
BL0067,increment19,2009-07-13
BL0067,increment2,2009-06-26
BL0067,increment20,2009-07-14
BL0067,increment21,2009-07-15
BL0067,increment3,2009-06-27
BL0067,increment4,2009-06-28
BL0067,increment5,2009-06-29
BL0067,increment6,2009-06-30
BL0067,increment7,2009-07-01
BL0067,increment8,2009-07-02
BL0067,increment9,2009-07-03
BL0069,increment1,2009-06-25
BL0069,increment10,2009-07-04
BL0069,increment11,2009-07-05
BL0069,increment12,2009-07-06
BL0069,increment13,2009-07-07
BL0069,increment14,2009-07-08
BL0069,increment15,2009-07-09
BL0069,increment16,2009-07-10
BL0069,increment17,2009-07-11
BL0069,increment18,2009-07-12
BL0069,increment19,2009-07-13
BL0069,increment2,2009-06-26
BL0069,increment20,2009-07-14
BL0069,increment21,2009-07-15
BL0069,increment3,2009-06-27
BL0069,increment4,2009-06-28
BL0069,increment5,2009-06-29
BL0069,increment6,2009-06-30
BL0069,increment7,2009-07-01
BL0069,increment8,2009-07-02
BL0069,increment9,2009-07-03
BL0070,increment1,2009-06-25
BL0070,increment10,2009-07-04
BL0070,increment11,2009-07-05
BL0070,increment12,2009-07-06
BL0070,increment13,2009-07-07
BL0070,increment14,2009-07-08
BL0070,increment15,2009-07-09
BL0070,increment16,2009-07-10
BL0070,increment17,2009-07-11
BL0070,increment18,2009-07-12
BL0070,increment19,2009-07-13
BL0070,increment2,2009-06-26
BL0070,increment20,2009-07-14
BL0070,increment21,2009-07-15
BL0070,increment3,2009-06-27
BL0070,increment4,2009-06-28
BL0070,increment5,2009-06-29
BL0070,increment6,2009-06-30
BL0070,increment7,2009-07-01
BL0070,increment8,2009-07-02
BL0070,increment9,2009-07-03
BL0071,increment1,2009-06-25
BL0071,increment10,2009-07-04
BL0071,increment11,2009-07-05
BL0071,increment12,2009-07-06
BL0071,increment13,2009-07-07
BL0071,increment14,2009-07-08
BL0071,increment15,2009-07-09
BL0071,increment16,2009-07-10
BL0071,increment17,2009-07-11
BL0071,increment18,2009-07-12
BL0071,increment19,2009-07-13
BL0071,increment2,2009-06-26
BL0071,increment20,2009-07-14
BL0071,increment21,2009-07-15
BL0071,increment3,2009-06-27
BL0071,increment4,2009-06-28
BL0071,increment5,2009-06-29
BL0071,increment6,2009-06-30
BL0071,increment7,2009-07-01
BL0071,increment8,2009-07-02
BL0071,increment9,2009-07-03
BL0073,increment1,2009-06-25
BL0073,increment10,2009-07-04
BL0073,increment11,2009-07-05
BL0073,increment12,2009-07-06
BL0073,increment13,2009-07-07
BL0073,increment14,2009-07-08
BL0073,increment15,2009-07-09
BL0073,increment16,2009-07-10
BL0073,increment17,2009-07-11
BL0073,increment18,2009-07-12
BL0073,increment19,2009-07-13
BL0073,increment2,2009-06-26
BL0073,increment20,2009-07-14
BL0073,increment21,2009-07-15
BL0073,increment3,2009-06-27
BL0073,increment4,2009-06-28
BL0073,increment5,2009-06-29
BL0073,increment6,2009-06-30
BL0073,increment7,2009-07-01
BL0073,increment8,2009-07-02
BL0073,increment9,2009-07-03
BL0074,increment1,2009-06-25
BL0074,increment10,2009-07-04
BL0074,increment11,2009-07-05
BL0074,increment12,2009-07-06
BL0074,increment13,2009-07-07
BL0074,increment14,2009-07-08
BL0074,increment15,2009-07-09
BL0074,increment16,2009-07-10
BL0074,increment17,2009-07-11
BL0074,increment18,2009-07-12
BL0074,increment19,2009-07-13
BL0074,increment2,2009-06-26
BL0074,increment20,2009-07-14
BL0074,increment21,2009-07-15
BL0074,increment3,2009-06-27
BL0074,increment4,2009-06-28
BL0074,increment5,2009-06-29
BL0074,increment6,2009-06-30
BL0074,increment7,2009-07-01
BL0074,increment8,2009-07-02
BL0074,increment9,2009-07-03
BL0076,increment1,2009-06-25
BL0076,increment10,2009-07-04
BL0076,increment11,2009-07-05
BL0076,increment12,2009-07-06
BL0076,increment13,2009-07-07
BL0076,increment14,2009-07-08
BL0076,increment15,2009-07-09
BL0076,increment16,2009-07-10
BL0076,increment17,2009-07-11
BL0076,increment18,2009-07-12
BL0076,increment19,2009-07-13
BL0076,increment2,2009-06-26
BL0076,increment20,2009-07-14
BL0076,increment21,2009-07-15
BL0076,increment3,2009-06-27
BL0076,increment4,2009-06-28
BL0076,increment5,2009-06-29
BL0076,increment6,2009-06-30
BL0076,increment7,2009-07-01
BL0076,increment8,2009-07-02
BL0076,increment9,2009-07-03
BL0077,increment1,2009-07-01
BL0077,increment10,2009-07-10
BL0077,increment11,2009-07-11
BL0077,increment12,2009-07-12
BL0077,increment13,2009-07-13
BL0077,increment14,2009-07-14
BL0077,increment15,2009-07-15
BL0077,increment16,2009-07-16
BL0077,increment17,2009-07-17
BL0077,increment18,2009-07-18
BL0077,increment19,2009-07-19
BL0077,increment2,2009-07-02
BL0077,increment20,2009-07-20
BL0077,increment21,2009-07-21
BL0077,increment3,2009-07-03
BL0077,increment4,2009-07-04
BL0077,increment5,2009-07-05
BL0077,increment6,2009-07-06
BL0077,increment7,2009-07-07
BL0077,increment8,2009-07-08
BL0077,increment9,2009-07-09
BL0080,increment1,2009-08-09
BL0080,increment10,2009-08-18
BL0080,increment11,2009-08-19
BL0080,increment12,2009-08-20
BL0080,increment13,2009-08-21
BL0080,increment14,2009-08-22
BL0080,increment15,2009-08-23
BL0080,increment16,2009-08-24
BL0080,increment17,2009-08-25
BL0080,increment18,2009-08-26
BL0080,increment19,2009-08-27
BL0080,increment2,2009-08-10
BL0080,increment20,2009-08-28
BL0080,increment21,2009-08-29
BL0080,increment3,2009-08-11
BL0080,increment4,2009-08-12
BL0080,increment5,2009-08-13
BL0080,increment6,2009-08-14
BL0080,increment7,2009-08-15
BL0080,increment8,2009-08-16
BL0080,increment9,2009-08-17
BL0081,increment1,2009-08-09
BL0081,increment10,2009-08-18
BL0081,increment11,2009-08-19
BL0081,increment12,2009-08-20
BL0081,increment13,2009-08-21
BL0081,increment14,2009-08-22
BL0081,increment15,2009-08-23
BL0081,increment16,2009-08-24
BL0081,increment17,2009-08-25
BL0081,increment18,2009-08-26
BL0081,increment19,2009-08-27
BL0081,increment2,2009-08-10
BL0081,increment20,2009-08-28
BL0081,increment21,2009-08-29
BL0081,increment3,2009-08-11
BL0081,increment4,2009-08-12
BL0081,increment5,2009-08-13
BL0081,increment6,2009-08-14
BL0081,increment7,2009-08-15
BL0081,increment8,2009-08-16
BL0081,increment9,2009-08-17
BL0091,increment1,2009-08-09
BL0091,increment10,2009-08-18
BL0091,increment11,2009-08-19
BL0091,increment12,2009-08-20
BL0091,increment13,2009-08-21
BL0091,increment14,2009-08-22
BL0091,increment15,2009-08-23
BL0091,increment16,2009-08-24
BL0091,increment17,2009-08-25
BL0091,increment18,2009-08-26
BL0091,increment19,2009-08-27
BL0091,increment2,2009-08-10
BL0091,increment20,2009-08-28
BL0091,increment21,2009-08-29
BL0091,increment3,2009-08-11
BL0091,increment4,2009-08-12
BL0091,increment5,2009-08-13
BL0091,increment6,2009-08-14
BL0091,increment7,2009-08-15
BL0091,increment8,2009-08-16
BL0091,increment9,2009-08-17
BL0094,increment1,2009-08-09
BL0094,increment10,2009-08-18
BL0094,increment11,2009-08-19
BL0094,increment12,2009-08-20
BL0094,increment13,2009-08-21
BL0094,increment14,2009-08-22
BL0094,increment15,2009-08-23
BL0094,increment16,2009-08-24
BL0094,increment17,2009-08-25
BL0094,increment18,2009-08-26
BL0094,increment19,2009-08-27
BL0094,increment2,2009-08-10
BL0094,increment20,2009-08-28
BL0094,increment21,2009-08-29
BL0094,increment3,2009-08-11
BL0094,increment4,2009-08-12
BL0094,increment5,2009-08-13
BL0094,increment6,2009-08-14
BL0094,increment7,2009-08-15
BL0094,increment8,2009-08-16
BL0094,increment9,2009-08-17
BL0097,increment1,2009-08-09
BL0097,increment10,2009-08-18
BL0097,increment11,2009-08-19
BL0097,increment12,2009-08-20
BL0097,increment13,2009-08-21
BL0097,increment14,2009-08-22
BL0097,increment15,2009-08-23
BL0097,increment16,2009-08-24
BL0097,increment17,2009-08-25
BL0097,increment18,2009-08-26
BL0097,increment19,2009-08-27
BL0097,increment2,2009-08-10
BL0097,increment20,2009-08-28
BL0097,increment21,2009-08-29
BL0097,increment3,2009-08-11
BL0097,increment4,2009-08-12
BL0097,increment5,2009-08-13
BL0097,increment6,2009-08-14
BL0097,increment7,2009-08-15
BL0097,increment8,2009-08-16
BL0097,increment9,2009-08-17
BL0098,increment1,2009-08-09
BL0098,increment10,2009-08-18
BL0098,increment11,2009-08-19
BL0098,increment12,2009-08-20
BL0098,increment13,2009-08-21
BL0098,increment14,2009-08-22
BL0098,increment15,2009-08-23
BL0098,increment16,2009-08-24
BL0098,increment17,2009-08-25
BL0098,increment18,2009-08-26
BL0098,increment19,2009-08-27
BL0098,increment2,2009-08-10
BL0098,increment20,2009-08-28
BL0098,increment21,2009-08-29
BL0098,increment3,2009-08-11
BL0098,increment4,2009-08-12
BL0098,increment5,2009-08-13
BL0098,increment6,2009-08-14
BL0098,increment7,2009-08-15
BL0098,increment8,2009-08-16
BL0098,increment9,2009-08-17
BL0099,increment1,2009-08-09
BL0099,increment10,2009-08-18
BL0099,increment11,2009-08-19
BL0099,increment12,2009-08-20
BL0099,increment13,2009-08-21
BL0099,increment14,2009-08-22
BL0099,increment15,2009-08-23
BL0099,increment16,2009-08-24
BL0099,increment17,2009-08-25
BL0099,increment18,2009-08-26
BL0099,increment19,2009-08-27
BL0099,increment2,2009-08-10
BL0099,increment20,2009-08-28
BL0099,increment21,2009-08-29
BL0099,increment3,2009-08-11
BL0099,increment4,2009-08-12
BL0099,increment5,2009-08-13
BL0099,increment6,2009-08-14
BL0099,increment7,2009-08-15
BL0099,increment8,2009-08-16
BL0099,increment9,2009-08-17
BL0106,increment1,2009-08-09
BL0106,increment10,2009-08-18
BL0106,increment11,2009-08-19
BL0106,increment12,2009-08-20
BL0106,increment13,2009-08-21
BL0106,increment14,2009-08-22
BL0106,increment15,2009-08-23
BL0106,increment16,2009-08-24
BL0106,increment17,2009-08-25
BL0106,increment18,2009-08-26
BL0106,increment19,2009-08-27
BL0106,increment2,2009-08-10
BL0106,increment20,2009-08-28
BL0106,increment21,2009-08-29
BL0106,increment3,2009-08-11
BL0106,increment4,2009-08-12
BL0106,increment5,2009-08-13
BL0106,increment6,2009-08-14
BL0106,increment7,2009-08-15
BL0106,increment8,2009-08-16
BL0106,increment9,2009-08-17
BL0114,increment1,2009-08-09
BL0114,increment10,2009-08-18
BL0114,increment11,2009-08-19
BL0114,increment12,2009-08-20
BL0114,increment13,2009-08-21
BL0114,increment14,2009-08-22
BL0114,increment15,2009-08-23
BL0114,increment16,2009-08-24
BL0114,increment17,2009-08-25
BL0114,increment18,2009-08-26
BL0114,increment19,2009-08-27
BL0114,increment2,2009-08-10
BL0114,increment20,2009-08-28
BL0114,increment21,2009-08-29
BL0114,increment3,2009-08-11
BL0114,increment4,2009-08-12
BL0114,increment5,2009-08-13
BL0114,increment6,2009-08-14
BL0114,increment7,2009-08-15
BL0114,increment8,2009-08-16
BL0114,increment9,2009-08-17
BL0115,increment1,2009-08-09
BL0115,increment10,2009-08-18
BL0115,increment11,2009-08-19
BL0115,increment12,2009-08-20
BL0115,increment13,2009-08-21
BL0115,increment14,2009-08-22
BL0115,increment15,2009-08-23
BL0115,increment16,2009-08-24
BL0115,increment17,2009-08-25
BL0115,increment18,2009-08-26
BL0115,increment19,2009-08-27
BL0115,increment2,2009-08-10
BL0115,increment20,2009-08-28
BL0115,increment21,2009-08-29
BL0115,increment3,2009-08-11
BL0115,increment4,2009-08-12
BL0115,increment5,2009-08-13
BL0115,increment6,2009-08-14
BL0115,increment7,2009-08-15
BL0115,increment8,2009-08-16
BL0115,increment9,2009-08-17
BL0117,increment1,2009-08-09
BL0117,increment10,2009-08-18
BL0117,increment11,2009-08-19
BL0117,increment12,2009-08-20
BL0117,increment13,2009-08-21
BL0117,increment14,2009-08-22
BL0117,increment15,2009-08-23
BL0117,increment16,2009-08-24
BL0117,increment17,2009-08-25
BL0117,increment18,2009-08-26
BL0117,increment19,2009-08-27
BL0117,increment2,2009-08-10
BL0117,increment20,2009-08-28
BL0117,increment21,2009-08-29
BL0117,increment3,2009-08-11
BL0117,increment4,2009-08-12
BL0117,increment5,2009-08-13
BL0117,increment6,2009-08-14
BL0117,increment7,2009-08-15
BL0117,increment8,2009-08-16
BL0117,increment9,2009-08-17
BL0122,increment1,2009-08-09
BL0122,increment10,2009-08-18
BL0122,increment11,2009-08-19
BL0122,increment12,2009-08-20
BL0122,increment13,2009-08-21
BL0122,increment14,2009-08-22
BL0122,increment15,2009-08-23
BL0122,increment16,2009-08-24
BL0122,increment17,2009-08-25
BL0122,increment18,2009-08-26
BL0122,increment19,2009-08-27
BL0122,increment2,2009-08-10
BL0122,increment20,2009-08-28
BL0122,increment21,2009-08-29
BL0122,increment3,2009-08-11
BL0122,increment4,2009-08-12
BL0122,increment5,2009-08-13
BL0122,increment6,2009-08-14
BL0122,increment7,2009-08-15
BL0122,increment8,2009-08-16
BL0122,increment9,2009-08-17
BL0123,increment1,2009-08-09
BL0123,increment10,2009-08-18
BL0123,increment11,2009-08-19
BL0123,increment12,2009-08-20
BL0123,increment13,2009-08-21
BL0123,increment14,2009-08-22
BL0123,increment15,2009-08-23
BL0123,increment16,2009-08-24
BL0123,increment17,2009-08-25
BL0123,increment18,2009-08-26
