FISHID,Year,Month,SL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g,Heatwave,logSL,logWeight,HSI,HSI_numeric,LWResiduals_All
BL0038,2009,8,67,3.2975,0.0324,Before,4.204692619,1.193164606,0.982562547,0.982562547,0.139372887
BL2039,2018,7,41,0.5365,0.0053,Between,3.713572067,-0.622688717,0.987884436,0.987884436,-0.171146927
BL2191,2018,8,87,8.377,0.0816,Between,4.465908119,2.125489855,0.974095738,0.974095738,0.271046562
BL1001,2012,7,48.69,1.0839,0.0105,Before,3.88547367,0.080565648,0.968724052,0.968724052,0.005211867
BL2158,2014,7,61,2.2528,0.0218,Heatwave,4.110873864,0.812173887,0.967684659,0.967684659,0.045946017
BL2173,2018,8,116,17.7135,0.1709,Between,4.753590191,2.874327061,0.964800858,0.964800858,0.138109505
BL2296,2017,7,57,1.868,0.018,Between,4.043051268,0.62486834,0.96359743,0.96359743,0.066523496
BL0961,2012,8,73.27,4.0421,0.0389,Before,4.294151248,1.396764359,0.962371045,0.962371045,0.068773015
BL2411,2008,8,79,5.2603,0.0506,Before,4.369447852,1.660188059,0.961922324,0.961922324,0.101405109
BL0193,2009,8,67,3.3795,0.0325,Before,4.204692619,1.21772777,0.961680722,0.961680722,0.163936051
BL2148,2014,7,55,1.5225,0.0146,Heatwave,4.007333185,0.420353721,0.958949097,0.958949097,-0.028511635
BL0939,2012,8,65.98,2.9127,0.0278,Before,4.189351666,1.069080486,0.954440897,0.954440897,0.062310322
BL2328,2017,7,38,0.531,0.0051,Between,3.63758616,-0.632993258,0.960451977,0.960451977,0.051452921
BL0069,2009,7,33,0.3675,0.0035,Before,3.496507561,-1.00103196,0.952380952,0.952380952,0.115834201
BL2229,2014,8,96,8.986,0.0854,Heatwave,4.564348191,2.195667811,0.950367238,0.950367238,0.03949587
BL2314,2017,7,55,1.496,0.0142,Between,4.007333185,0.40279488,0.949197861,0.949197861,-0.046070476
BL2170,2018,8,130,22.1065,0.2094,Between,4.86753445,3.095871683,0.947232714,0.947232714,0.0104036
BL2294,2017,7,58,2.0015,0.0189,Between,4.060443011,0.693896899,0.944291781,0.944291781,0.082244628
BL0030,2009,8,65,2.6537,0.0251,Before,4.17438727,0.975954893,0.945849192,0.945849192,0.015052095
BL2196,2018,8,69,2.7962,0.0264,Between,4.234106505,1.028261353,0.944138474,0.944138474,-0.115686859
BL2042,2018,7,50,1.0296,0.0097,Between,3.912023005,0.029170377,0.942113442,0.942113442,-0.127559766
BL0116,2009,8,66,3.1886,0.03,Before,4.189654742,1.159581949,0.940851784,0.940851784,0.151882826
BL2421,2012,8,60,2.40519,0.02261,Before,4.094344562,0.877628903,0.940050474,0.940050474,0.162064992
BL2340,2016,7,68,3.114,0.0292,Heatwave,4.219507705,1.135908073,0.937700706,0.937700706,0.036706639
BL0948,2012,8,61.95,2.3895,0.0224,Before,4.126327608,0.871084139,0.93743461,0.93743461,0.057489001
BL0100,2009,8,70,3.988,0.0372,Before,4.248495242,1.383289852,0.932798395,0.932798395,0.195238724
BL0957,2012,8,65.65,2.9209,0.0272,Before,4.184337601,1.071891788,0.93121983,0.93121983,0.080490233
BL2215,2015,8,86,6.721,0.0625,Heatwave,4.454347296,1.905236953,0.929921143,0.929921143,0.086228734
BL0009,2009,8,52,1.8785,0.0174,Before,3.951243719,0.630473586,0.926270961,0.926270961,0.353528043
BL0085,2009,8,61,2.4797,0.0229,Before,4.110873864,0.908137585,0.92349881,0.92349881,0.141909715
BL2034,2018,7,67,3.0997,0.0286,Between,4.204692619,1.131305333,0.922669936,0.922669936,0.077513614
BL2151,2014,7,42,0.7133,0.0065,Heatwave,3.737669618,-0.33785319,0.911257535,0.911257535,0.0398272
BL0005,2009,8,52,1.2153,0.0111,Before,3.951243719,0.19499096,0.913354727,0.913354727,-0.081954583
BL0117,2009,8,70,3.7285,0.0338,Before,4.248495242,1.316006008,0.906530776,0.906530776,0.12795488
BL0192,2009,8,59,2.284,0.0207,Before,4.077537444,0.825928292,0.906304729,0.906304729,0.161879877
BL0134,2009,8,68,2.2484,0.0203,Before,4.219507705,0.810218852,0.902864259,0.902864259,-0.288982583
BL0112,2009,8,63,2.6487,0.0239,Before,4.143134726,0.974068954,0.902329445,0.902329445,0.108958321
BL2299,2016,7,65,2.859,0.0257,Heatwave,4.17438727,1.050471913,0.898915705,0.898915705,0.089569116
BL2116,2013,8,103,12.5569,0.112,Before,4.634728988,2.530270315,0.89193989,0.89193989,0.158374208
BL0928,2012,8,60.08,2.2276,0.0197,Before,4.095677007,0.800924773,0.884359849,0.884359849,0.081276785
BL0970,2012,8,69.1,3.5962,0.0317,Before,4.235554731,1.279877732,0.881486013,0.881486013,0.131490563
BL0027,2009,8,67,3.0681,0.027,Before,4.204692619,1.121058477,0.880023467,0.880023467,0.067266759
BL0115,2009,8,69,3.6856,0.0324,Before,4.234106505,1.304433335,0.879097026,0.879097026,0.160485123
BL2337,2016,7,62,2.365,0.0207,Heatwave,4.127134385,0.860778022,0.875264271,0.875264271,0.044710032
BL2057,2013,7,51,1.2017,0.0105,Before,3.931825633,0.183737221,0.87376217,0.87376217,-0.033689951
BL2239,2016,7,68,3.419,0.0299,Heatwave,4.219507705,1.229348111,0.874524715,0.874524715,0.130146676
BL0097,2009,8,61,2.5789,0.0225,Before,4.110873864,0.947362951,0.872465004,0.872465004,0.181135081
BL2033,2018,7,74,4.2301,0.0369,Between,4.304065093,1.442225633,0.872319803,0.872319803,0.083847365
BL2454,2012,7,49,1.09027,0.00942,Before,3.891820298,0.086425372,0.864006164,0.864006164,-0.008381457
BL2134,2014,7,51,1.2243,0.0106,Heatwave,3.931825633,0.202369252,0.865800866,0.865800866,-0.01505792
BL2038,2018,7,64,2.8464,0.0245,Between,4.158883083,1.046055038,0.860736369,0.860736369,0.132674119
BL0013,2009,8,78,5.1431,0.0442,Before,4.356708827,1.637656011,0.859403861,0.859403861,0.117919445
BL0092,2009,8,60,2.3813,0.0204,Before,4.094344562,0.867646557,0.856674925,0.856674925,0.152082647
BL1000,2012,7,40.74,0.7451,0.0063,Before,3.707210411,-0.294236841,0.845524091,0.845524091,0.176804059
BL0067,2009,7,42,0.7793,0.0066,Before,3.737669618,-0.249359198,0.846913897,0.846913897,0.128321191
BL0969,2012,8,65.63,2.8973,0.0245,Before,4.184032908,1.063779269,0.845614883,0.845614883,0.073311626
BL0040,2009,8,70,3.496,0.0294,Before,4.248495242,1.251619458,0.840961098,0.840961098,0.06356833
BL2023,2018,7,72,3.3645,0.0283,Between,4.276666119,1.213279364,0.841135384,0.841135384,-0.061118314
BL0936,2012,8,80.4,4.814,0.0404,Before,4.387014176,1.571528339,0.839218945,0.839218945,-0.041097146
BL2032,2018,7,61,2.2955,0.0191,Between,4.110873864,0.830950685,0.832062731,0.832062731,0.064722814
BL0024,2009,8,63,2.9333,0.0243,Before,4.143134726,1.076128069,0.828418505,0.828418505,0.211017436
BL2138,2014,7,55,1.7441,0.0144,Heatwave,4.007333185,0.556238663,0.825640732,0.825640732,0.107373307
BL2011,2018,7,50,1.2367,0.0102,Between,3.912023005,0.212446542,0.824775613,0.824775613,0.055716399
BL2310,2015,7,53,1.338,0.011,Heatwave,3.970291914,0.291175962,0.822122571,0.822122571,-0.0441542
BL0962,2012,8,63.23,2.5094,0.0206,Before,4.146778872,0.920043681,0.820913366,0.820913366,0.043763378
BL2080,2013,7,66,2.5744,0.021,Before,4.189654742,0.945616497,0.815724052,0.815724052,-0.062082626
BL2189,2018,8,57,1.9021,0.0155,Between,4.043051268,0.642958539,0.814888807,0.814888807,0.084613695
BL2041,2018,7,58,2.0273,0.0164,Between,4.060443011,0.706704858,0.808957727,0.808957727,0.095052588
BL1012,2012,7,35.96,0.4301,0.0035,Before,3.58240721,-0.843737539,0.813764241,0.813764241,0.009837628
BL0018,2009,8,72,4.3821,0.0354,Before,4.276666119,1.477528062,0.807831861,0.807831861,0.203130384
BL2131,2014,7,45,0.8343,0.0067,Heatwave,3.80666249,-0.181162229,0.803068441,0.803068441,-0.014951876
BL2377,2019,8,92,9.0355,0.0723,Heatwave,4.521788577,2.201161263,0.800177079,0.800177079,0.175438788
BL2175,2018,8,112,14.2195,0.1134,Between,4.718498871,2.654614262,0.797496396,0.797496396,0.025955103
BL2036,2018,7,61,2.1277,0.0169,Between,4.110873864,0.755041584,0.794284909,0.794284909,-0.011186286
BL2192,2018,8,77,4.9431,0.0393,Between,4.343805422,1.597992665,0.795047642,0.795047642,0.117806323
