FISHID,Year,Month,SL_mm,TL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g
BL2256,2017,8,92,100,6.839,0.0152
BL2055,2013,7,46,51,1.0763,0.0024
BL0778,2010,7,53,58,1.6295,0.0036
BL0064,2009,7,40,44,0.6869,0.0015
BL2081,2013,7,52,56,1.3802,0.0029
BL2277,2017,8,96,104,8.9207,0.0187
BL0874,2010,7,49,53,1.294,0.0027
BL0062,2009,7,42,45,0.8157,0.0017
BL0505,2006,8,59,64,1.9247,0.004
BL2446,2012,7,46,49,1.00923,0.00209
BL0077,2009,7,41,46,0.7729,0.0016
BL2133,2014,7,55,60,1.7064,0.0034
BL0041,2009,8,74,81,3.7962,0.0075
BL0820,2010,7,50,55,1.5787,0.0031
BL2414,2012,8,69,74,3.36854,0.00656
BL0781,2010,7,48,53,1.3367,0.0026
BL0999,2012,7,35.08,38.07,0.3781,0.0007
BL0882,2010,8,57,63,1.865,0.0035
BL2124,2013,8,83,89,5.525,0.0103
BL0201,2009,8,49,NA,1.1777,0.0022
BL0206,2009,8,48,51,0.7514,0.0014
BL2439,2012,8,48,53,1.19755,0.00222
BL0019,2009,8,71,78,4.5254,0.0083
BL0910,2012,8,72.07,78.48,3.0573,0.0055
BL0254,2006,8,64,70,2.6127,0.0047
BL2325,2017,7,35,39,0.3748,0.0007
BL2046,2013,7,42,46,0.777,0.0014
BL2259,2017,8,79,85,5.094,0.009
BL0506,2006,8,77,85,4.5898,0.008
BL2311,2015,7,46,50,1.027,0.0018
BL2265,2017,8,76,81,4.254,0.0074
BL0255,2006,8,60,65,2.2539,0.0038
BL2272,2017,8,91,98,7.4966,0.0124
BL2101,2013,8,78,84,3.9715,0.0065
BL2262,2017,8,87,95,6.4395,0.0105
BL0881,2010,8,77,84,5.2236,0.0083
BL0268,2006,8,67,72,3.3591,0.0053
BL0548,2008,8,62,67,1.6029,0.0025
BL0670,2008,8,70,76,2.3132,0.0036
BL0539,2008,8,70,77,2.3854,0.0037
BL0840,2010,7,45,50,0.9034,0.0014
BL0045,2009,9,67,72,2.7794,0.0043
BL0932,2012,8,55.07,60.16,1.4934,0.0023
BL0666,2008,8,68,74,2.1481,0.0032
BL0272,2006,8,61,67,2.8566,0.0042
BL0965,2012,8,55.06,60.61,1.6804,0.0025
BL2266,2017,8,82,88,5.206,0.0076
BL0058,2009,7,43,47,0.7645,0.0011
BL2067,2013,7,50,54,0.9931,0.0014
BL2062,2013,7,48,53,0.9171,0.0013
BL0643,2008,8,71,78,2.6762,0.0038
BL0724,2007,8,48,52,0.6364,0.0009
BL2441,2012,7,40,43,0.59564,0.00083
BL2051,2013,7,48,53,1.319,0.0018
BL0588,2008,8,50,54,0.7201,0.001
BL0883,2010,8,75,82,4.6495,0.0062
BL0663,2008,8,70,76,2.0442,0.0027
BL0139,2009,8,56,61,1.9068,0.0025
BL0885,2010,8,65,NA,3.1669,0.0041
BL0165,2009,9,80,87,5.5725,0.0072
BL0875,2010,7,50,54,1.402,0.0018
BL0245,2009,7,40,44,0.7048,0.0009
BL0880,2010,8,64,71,2.8347,0.0036
BL2142,2014,7,45,49,0.7441,0.0009
BL2285,2017,8,76,83,4.106,0.0051
BL2119,2013,8,92,99,9.2426,0.0113
BL0247,2009,7,39,43,0.6556,0.0008
BL0722,2007,8,52,55,0.6612,0.0008
BL0073,2009,7,40,NA,0.5057,0.0006
