"","FISHID","Year","Month","StomachWW_g","ContentsWW_g","SL_mm","WholeBodyWW_g","Heatwave","StomachFullness","sqrtFullness"
"21","BL2447","2012","7",0.02388,0.01677,34,0.52046,"Before",0.0332942881534277,0.182467224874572
"22","BL2332","2017","7",0.117,0.08589,62,2.71,"Between",0.0327310974006425,0.180917377276597
"23","BL2141","2014","7",0.06209,0.05152,56,1.6559,"Heatwave",0.0321120931450155,0.179198474170445
"24","BL2400","2019","7",0.04146,0.02968,46,0.9647,"Heatwave",0.0317426365211439,0.178164633193976
"25","BL0767","2007","7",0.01717,0.01323,40,0.4341,"Before",0.0314348848813173,0.177298857529645
"26","BL2134","2014","7",0.05632,0.03665,51,1.2243,"Heatwave",0.0308592598829622,0.175668038877202
"27","BL0760","2007","7",0.01598,0.01366,41,0.4597,"Before",0.0306250560487849,0.175000160139312
"28","BL2445","2012","7",0.09066,0.05961,55,2.01102,"Before",0.0305471428351807,0.174777409396011
"29","BL2460","2012","7",0.04811,0.02918,49,0.98845,"Before",0.0304189644208617,0.174410333469269
"30","BL0757","2007","7",0.02031,0.01601,46,0.5625,"Before",0.0292960529927355,0.171160897966608
"31","BL2441","2012","7",0.02265,0.01663,40,0.59564,"Before",0.0287214383171275,0.169474004841827
"32","BL2006","2018","7",0.23902,0.18741,86,6.8224,"Between",0.0282457094886352,0.168064599153526
"33","BL2458","2012","7",0.01962,0.01492,40,0.54667,"Before",0.0280582980724024,0.167506113537394
"34","BL2401","2019","7",0.06779,0.04089,51,1.5006,"Heatwave",0.0280124134245843,0.167369093397151
"35","BL0763","2007","7",0.01828,0.01167,40,0.4302,"Before",0.027883305856211,0.166982950795017
"36","BL2440","2012","7",0.03009,0.01891,40,0.70926,"Before",0.027391902658072,0.165504992849376
"37","BL2449","2012","7",0.06082,0.03741,50,1.41392,"Before",0.0271774269711081,0.164855776274622
"38","BL2456","2012","7",0.03102,0.01555,41,0.589,"Before",0.0271165751155288,0.164671111964208
"39","BL0773","2007","7",0.01883,0.01549,44,0.5901,"Before",0.0269574145942465,0.164187132852263
"40","BL2463","2012","7",0.0351,0.01891,42,0.72095,"Before",0.0269357871346362,0.164121257412427
"41","BL0764","2007","7",0.01434,0.01136,40,0.4351,"Before",0.0268088922452447,0.163734212201497
"42","BL2064","2013","7",0.04011,0.03134,48,1.2005,"Before",0.0268055698108043,0.163724066070949
"43","BL2455","2012","7",0.02322,0.01477,38,0.57778,"Before",0.0262339922914335,0.161969109065382
"44","BL2451","2012","7",0.01989,0.00938,35,0.37946,"Before",0.0253458711629918,0.159203866670982
"45","BL2457","2012","7",0.02221,0.01371,39,0.56384,"Before",0.0249213822187483,0.157865075994497
"46","BL2299","2016","7",0.07987,0.06745,65,2.859,"Heatwave",0.0241622037935914,0.155441962782227
"47","BL2329","2017","7",0.02794,0.02147,45,0.914,"Between",0.0240552138303474,0.155097433345454
"48","BL2383","2019","7",0.02778,0.01839,43,0.7979,"Heatwave",0.0235917435311927,0.153596040089557
"49","BL0769","2007","7",0.01541,0.01286,45,0.5643,"Before",0.0233207601914986,0.15271136235231
"50","BL2450","2012","7",0.02645,0.0131,36,0.57485,"Before",0.0233199821984869,0.152708815064772
"51","BL2399","2019","7",0.03768,0.02579,45,1.138,"Heatwave",0.0231880670017353,0.152276285093035
"52","BL2403","2019","7",0.08379,0.04687,56,2.0813,"Heatwave",0.0230383940464897,0.151784037522032
"53","BL2327","2017","7",0.09005,0.05739,64,2.558,"Between",0.022950400102375,0.151493894604288
"54","BL2387","2019","7",0.06432,0.03288,50,1.5055,"Heatwave",0.0223275522538061,0.149424068522464
"55","BL2143","2014","7",0.01977,0.01823,46,0.8545,"Heatwave",0.0217991796907697,0.147645452658623
"56","BL2158","2014","7",0.06841,0.0478,61,2.2528,"Heatwave",0.0216780045351474,0.147234522226098
"57","BL2139","2014","7",0.04164,0.03154,53,1.5043,"Heatwave",0.0214155734810831,0.146340607765183
"58","BL0768","2007","7",0.01474,0.01077,45,0.514,"Before",0.0214017447290503,0.146293351622862
"59","BL2335","2016","7",0.08965,0.06359,68,3.036,"Heatwave",0.0213934147711789,0.146264878802736
"60","BL2388","2019","7",0.06468,0.03684,54,1.7661,"Heatwave",0.0213039103431526,0.145958591193367
"61","BL2026","2018","7",0.17202,0.11751,82,5.7276,"Between",0.0209461880290691,0.144727979427162
"62","BL2165","2014","7",0.0283,0.02363,50,1.1525,"Heatwave",0.0209324368616404,0.144680464685597
"63","BL0772","2007","7",0.01604,0.01178,44,0.5762,"Before",0.0208709826016087,0.144467929318616
"64","BL0840","2010","7",0.02491,0.01841,45,0.9034,"Before",0.0208024949434457,0.144230700419313
"65","BL2325","2017","7",0.00947,0.00763,35,0.3748,"Between",0.0207805648609636,0.144154656050242
"66","BL2398","2019","7",0.02404,0.01574,42,0.7784,"Heatwave",0.0206382922927648,0.143660336532965
"67","BL0771","2007","7",0.01793,0.01204,48,0.5973,"Before",0.0205720534463315,0.143429611469639
"68","BL2442","2012","7",0.02427,0.01609,43,0.80869,"Before",0.0203002775674994,0.142479042555386
"69","BL2030","2018","7",0.13061,0.08613,75,4.3343,"Between",0.0202746123624996,0.142388947473108
"70","BL0062","2009","7",0.02097,0.01607,42,0.8157,"Before",0.02009679476758,0.141763164353721
"71","BL2007","2018","7",0.21151,0.14347,87,7.3014,"Between",0.0200435041974426,0.1415750832507
"72","BL2041","2018","7",0.04869,0.03975,58,2.0273,"Between",0.0199994968680033,0.141419577385889
"73","BL0765","2007","7",0.01346,0.00878,41,0.4488,"Before",0.0199536384709786,0.14125734837869
"74","BL0869","2010","7",0.02123,0.01703,44,0.8728,"Before",0.0199002068312748,0.14106809288877
"75","BL2245","2016","7",0.11047,0.07927,71,4.065,"Heatwave",0.019888452052698,0.141026423242944
"76","BL2386","2019","7",0.08281,0.04484,60,2.304,"Heatwave",0.019848085128986,0.140883232249214
"77","BL2154","2014","7",0.02893,0.02621,52,1.3521,"Heatwave",0.0197678540452074,0.140598200718243
"78","BL2144","2014","7",0.05283,0.04071,60,2.1194,"Heatwave",0.0195844498217627,0.139944452629473
"79","BL2147","2014","7",0.03994,0.03055,55,1.6153,"Heatwave",0.0192774885628648,0.138843395820128
"80","BL2446","2012","7",0.03657,0.01907,46,1.00923,"Before",0.0192595136139614,0.138778649705066
"81","BL2045","2018","7",0.1072,0.07225,70,3.8338,"Between",0.0192075075434329,0.138591152471696
"82","BL2068","2013","7",0.05813,0.03667,61,1.9713,"Before",0.0189545287729437,0.137675447240761
"83","BL2079","2013","7",0.03823,0.0298,55,1.6085,"Before",0.0188762906188636,0.137391013603014
"84","BL2058","2013","7",0.03751,0.02526,54,1.3697,"Before",0.018788491862783,0.137071119725429
"85","BL2238","2016","7",0.05806,0.04652,62,2.5306,"Heatwave",0.0187272551608644,0.136847561764411
